City,Item,Price
Pune,PG - Triple Sharing (without meals)per month,"₹5,000"
Pune,"Cook (part-time, 2 meals/day)per month","₹5,500"
Pune,Maid / Cleaning Helpper month,"₹2,200"
Pune,Laundry / Ironing (dhobi)per month,"₹1,100"
Pune,Miscellaneous Monthly Spendper month,"₹2,200"
Pune,Men's Casual Shirt (Zara/H&M)per piece,"₹2,500"
Pune,Women's Dress (Myntra/Zara)per piece,"₹2,000"
Pune,Running Shoes (Nike/Adidas)per pair,"₹5,500"
Pune,Skincare Basics (Nykaa avg)per month,"₹1,200"
Pune,Amazon Prime Membershipper month,₹149
Pune,Gym Membershipper month,"₹1,800"
Pune,Movie Ticket (Multiplex)per ticket,₹250
Pune,Netflix (Standard Plan)per month,₹649
Pune,Spotify Premiumper month,₹119
Pune,"Haircut (Men, basic salon)per cut",₹130
Pune,"Domestic Beer (pint, restaurant)per pint",₹200
Pune,"Imported Beer (bottle, restaurant)per bottle",₹380
Kolkata,Veg Thali (local restaurant)per plate,₹90
Kolkata,Non-Veg Thali (local restaurant)per plate,₹150
Kolkata,Meal for Two (high-end restaurant)per meal,"₹1,100"
Kolkata,Chai (regular cup)per cup,₹10
Kolkata,Coffee (Cappuccino)per cup,₹170
Kolkata,Specialty Coffee (Third Wave)per cup,₹220
Kolkata,Street Food (Vada Pav / Samosa)per piece,₹12
Kolkata,Biryani (chicken)per plate,₹180
Kolkata,Dosa (plain)per plate,₹55
Kolkata,Fast Food Combo (McDonald's)per meal,₹240
Kolkata,"Soft Drink (Coca-Cola, 300ml)per bottle",₹35
Kolkata,Bottled Water (1 litre)per bottle,₹20
Kolkata,Rice (Basmati)1 kg,₹90
Kolkata,Wheat Flour (Atta)1 kg,₹45
Kolkata,Toor Dal1 kg,₹145
Kolkata,Milk (Full Cream)1 litre,₹52
Kolkata,Eggs12 pcs,₹72
Kolkata,Chicken1 kg,₹220
Kolkata,Paneer1 kg,₹340
Kolkata,Onions1 kg,₹30
Kolkata,Tomatoes1 kg,₹38
Kolkata,Potatoes1 kg,₹25
Kolkata,Cooking Oil (Sunflower)1 litre,₹148
Kolkata,Sugar1 kg,₹43
Kolkata,Apples (Shimla)1 kg,₹200
Kolkata,Bananas1 dozen,₹45
Kolkata,"Bread (White, Sliced)1 loaf",₹40
Kolkata,Whey Protein (1 kg)per kg,"₹3,000"
Kolkata,Auto Rickshaw (minimum fare)per ride,₹25
Kolkata,Auto Rickshaw (per km after min)per km,₹12
Kolkata,Metro / Local Train (monthly pass)per month,₹800
Kolkata,Bus (monthly pass)per month,₹600
Kolkata,Ola/Uber (avg ride)per ride,₹200
Kolkata,Petrol1 litre,₹105
Kolkata,Diesel1 litre,₹90
Kolkata,Two Wheeler EMI (avg)per month,"₹3,500"
Kolkata,Car EMI (avg)per month,"₹15,000"
Kolkata,Electricityper month,"₹1,500"
Kolkata,Water Billper month,₹250
Kolkata,Cooking Gas (LPG Cylinder)per cylinder,₹803
Kolkata,Broadband Internetper month,₹850
Kolkata,Mobile Plan (Jio/Airtel)per month,₹349
Kolkata,1 BHK in City Centreper month,"₹14,000"
